year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2020,36337,NaN,0.0,ford,fwd,white,18985,0.0
2018,66053,NaN,0.0,dodge,rwd,grey,18985,0.0
2020,62200,NaN,0.0,chrysler,fwd,white,23985,0.0
2020,55484,NaN,0.0,chevrolet,4wd,black,22985,0.0
2016,107829,NaN,0.0,bmw,rwd,blue,16985,0.0
2020,39684,NaN,0.0,dodge,fwd,NaN,22985,0.0
2019,28698,NaN,0.0,audi,4wd,grey,26985,0.0
2014,69157,NaN,0.0,bmw,rwd,NaN,21985,0.0
2020,49064,NaN,0.0,chrysler,fwd,NaN,25985,0.0
2015,79409,NaN,0.0,chevrolet,NaN,red,27985,0.0
2019,45484,NaN,0.0,bmw,rwd,grey,31985,0.0
2011,58348,NaN,0.0,bmw,rwd,grey,16985,0.0
2018,112210,NaN,0.0,chevrolet,4wd,white,25985,0.0
2019,72318,NaN,0.0,chevrolet,fwd,silver,17985,0.0
2014,85898,NaN,0.0,bmw,rwd,NaN,22985,0.0
2014,73595,NaN,0.0,bmw,4wd,green,17985,0.0
2015,71080,NaN,0.0,bmw,4wd,black,12985,0.0
2013,135000,NaN,0.0,,NaN,NaN,5800,0.0
2014,68295,NaN,0.0,bmw,rwd,grey,18985,0.0
2014,106295,NaN,0.0,bmw,rwd,black,18985,0.0
2013,80957,NaN,0.0,bmw,rwd,black,18985,0.0
2012,80485,NaN,0.0,bmw,rwd,red,14985,0.0
2017,65904,NaN,0.0,bmw,rwd,black,16985,0.0
2017,46054,NaN,0.0,cadillac,rwd,red,18985,0.0
2015,70257,NaN,0.0,bmw,rwd,black,22985,0.0
2019,54219,NaN,0.0,dodge,rwd,black,22985,0.0
2017,25430,NaN,0.0,chevrolet,rwd,red,20985,0.0
2014,139640,NaN,0.0,bmw,rwd,NaN,13985,0.0
2017,36056,NaN,0.0,dodge,rwd,black,23985,0.0
2018,69544,NaN,0.0,chevrolet,rwd,black,29985,0.0
2013,129520,NaN,0.0,cadillac,fwd,black,12431,0.0
2014,135983,NaN,0.0,bmw,4wd,grey,11985,0.0
2016,26532,NaN,0.0,dodge,rwd,white,28985,1.0
2013,144138,NaN,0.0,bmw,rwd,silver,12985,0.0
2014,63341,NaN,0.0,bmw,rwd,grey,18985,0.0
2018,62264,NaN,0.0,bmw,rwd,grey,21985,0.0
2019,8317,NaN,0.0,dodge,rwd,NaN,27985,0.0
2012,178000,4,0.0,subaru,fwd,red,5999,0.0
2014,117114,NaN,0.0,bmw,rwd,black,15985,0.0
2016,113209,NaN,0.0,bmw,rwd,grey,23985,0.0
2018,87746,NaN,0.0,bmw,rwd,red,23985,0.0
2019,50296,NaN,0.0,acura,4wd,blue,33985,0.0
2013,79999,NaN,0.0,bmw,rwd,NaN,22734,0.0
2016,76844,NaN,0.0,bmw,rwd,NaN,33985,0.0
2014,63098,NaN,0.0,bmw,4wd,silver,18985,0.0
2014,77245,NaN,0.0,bmw,4wd,black,19985,0.0
2007,127000,8,0.0,dodge,rwd,silver,1000,0.0
2015,115000,4,0.0,toyota,rwd,white,11500,0.0
2008,93598,NaN,0.0,dodge,4wd,white,NaN,0.0
2004,135000,6,0.0,NaN,rwd,NaN,13500,0.0
2018,135767,NaN,0.0,hyundai,NaN,white,12995,0.0
1997,130000,NaN,0.0,NaN,NaN,NaN,7500,0.0
2016,72133,4,0.0,hyundai,fwd,blue,12000,0.0
2021,32972,NaN,NaN,toyota,NaN,NaN,41988,NaN
2006,24500,10,0.0,lamborghini,4wd,yellow,109000,0.0
2019,76180,NaN,0.0,kia,fwd,blue,NaN,0.0
2016,115250,NaN,0.0,ford,fwd,white,16988,0.0
2020,41760,NaN,0.0,chevrolet,fwd,silver,11988,0.0
2021,25010,NaN,0.0,hyundai,fwd,white,16988,0.0
2019,69640,NaN,0.0,honda,fwd,grey,17988,0.0
2010,33923,NaN,0.0,ford,rwd,white,22988,0.0
2010,182,4,0.0,dodge,NaN,white,5300,0.0
2020,54030,NaN,0.0,dodge,rwd,black,20988,0.0
2020,63830,NaN,0.0,honda,fwd,grey,20588,0.0
2021,42172,NaN,0.0,audi,4wd,black,36988,0.0
2006,111733,NaN,0.0,honda,fwd,silver,11988,1.0
2021,25415,NaN,0.0,chevrolet,fwd,silver,11988,0.0
2010,60310,NaN,0.0,ford,rwd,white,19988,0.0
2017,17304,NaN,0.0,ford,fwd,white,28988,0.0
2016,125253,4,0.0,hyundai,fwd,black,7500,0.0
1993,500,8,0.0,NaN,4wd,blue,9000,0.0
2018,26000,NaN,1.0,tesla,rwd,grey,39000,0.0
2019,111990,NaN,0.0,volkswagen,NaN,green,NaN,0.0
2006,96092,NaN,0.0,bmw,NaN,blue,NaN,0.0
2012,126903,6,0.0,bmw,4wd,red,10450,0.0
2007,149000,4,0.0,NaN,fwd,blue,7400,0.0
2011,190000,NaN,1.0,toyota,NaN,black,9000,0.0
2022,5439,NaN,0.0,ford,4wd,NaN,NaN,0.0
2008,51986,10,0.0,NaN,rwd,grey,24000,1.0
2011,200000,NaN,0.0,subaru,NaN,NaN,5600,0.0
2000,37764,NaN,NaN,NaN,NaN,NaN,29988,NaN
2014,81494,4,0.0,toyota,fwd,NaN,NaN,0.0
2020,64826,4,0.0,toyota,rwd,NaN,29500,0.0
2020,60307,6,0.0,ram,4wd,white,49000,0.0
1992,99999,8,0.0,NaN,rwd,NaN,2600,0.0
2014,118471,8,0.0,ram,4wd,NaN,NaN,0.0
1982,99000,NaN,0.0,NaN,NaN,NaN,1200,1.0
1992,99999,8,0.0,NaN,rwd,NaN,2400,0.0
2019,20195,NaN,0.0,subaru,NaN,white,NaN,0.0
2006,75000,8,0.0,lincoln,rwd,black,1200,0.0
1955,99999,8,0.0,NaN,rwd,NaN,5400,0.0
1969,100000,NaN,0.0,NaN,rwd,black,2200,0.0
1975,80000,4,0.0,datsun,rwd,white,4200,1.0
1983,1,4,0.0,toyota,4wd,blue,39997,1.0
2003,77400,6,0.0,bmw,rwd,white,16500,0.0
2001,335000,8,0.0,NaN,4wd,white,20000,0.0
2017,63692,6,0.0,ram,4wd,white,59988,0.0
2012,198196,NaN,0.0,chevrolet,NaN,NaN,12995,0.0
2020,69500,8,0.0,dodge,4wd,NaN,35744,0.0
2003,143000,6,0.0,bmw,NaN,NaN,5400,0.0
2019,36064,NaN,0.0,NaN,rwd,blue,NaN,0.0
2017,62597,NaN,0.0,ford,NaN,white,NaN,0.0
