year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
1995.0,133700.0,,0.0,,,,7800.0,0.0
2016.0,47514.0,4.0,0.0,nissan,fwd,,193.0,0.0
2013.0,147259.0,,0.0,bmw,,black,8990.0,0.0
2011.0,148000.0,,0.0,ford,fwd,black,9200.0,0.0
2022.0,2700.0,4.0,0.0,or,4wd,blue,55000.0,0.0
2011.0,101000.0,4.0,0.0,,,grey,6900.0,0.0
2016.0,69463.0,,0.0,toyota,,grey,12500.0,0.0
2016.0,115216.0,6.0,0.0,toyota,,,24750.0,0.0
2015.0,106298.0,6.0,0.0,toyota,4wd,,27500.0,0.0
2013.0,142832.0,4.0,0.0,toyota,,,13750.0,0.0
2000.0,32121.0,6.0,1.0,,,white,,1.0
2020.0,44985.0,4.0,0.0,hyundai,fwd,,239.0,0.0
2007.0,80000.0,6.0,0.0,,rwd,silver,1000.0,0.0
2021.0,13459.0,4.0,0.0,jeep,fwd,grey,22900.0,0.0
2019.0,36314.0,4.0,0.0,infiniti,fwd,black,,0.0
2020.0,62128.0,6.0,0.0,toyota,4wd,black,,0.0
2019.0,16501.0,4.0,0.0,hyundai,fwd,white,,0.0
2020.0,19034.0,4.0,0.0,jaguar,4wd,black,,0.0
2014.0,87449.0,4.0,0.0,hyundai,fwd,black,,0.0
2017.0,38810.0,6.0,0.0,nissan,fwd,blue,,0.0
2015.0,68940.0,6.0,0.0,infiniti,rwd,silver,,0.0
2018.0,32483.0,4.0,0.0,nissan,fwd,black,,0.0
2015.0,94264.0,6.0,0.0,toyota,fwd,white,,0.0
2003.0,109000.0,,0.0,,,,9950.0,0.0
2017.0,48305.0,,0.0,bmw,,black,35988.0,0.0
2011.0,70320.0,4.0,0.0,mini,,white,8888.0,0.0
2003.0,105000.0,,0.0,,,,3550.0,0.0
2012.0,87000.0,6.0,0.0,honda,,silver,12900.0,0.0
2020.0,26000.0,6.0,0.0,,rwd,black,40000.0,0.0
2006.0,172124.0,6.0,0.0,acura,,grey,5400.0,0.0
2016.0,61649.0,6.0,0.0,,4wd,white,,0.0
2018.0,89383.0,4.0,0.0,mitsubishi,fwd,black,,0.0
2006.0,148300.0,6.0,0.0,infiniti,,,5400.0,0.0
2015.0,72088.0,6.0,0.0,,rwd,grey,,0.0
1948.0,47000.0,6.0,0.0,,rwd,blue,11900.0,1.0
2016.0,86600.0,,0.0,,fwd,,,0.0
2012.0,158010.0,,0.0,lexus,rwd,,,0.0
2012.0,98775.0,,0.0,kia,fwd,white,,0.0
2014.0,112305.0,,0.0,jeep,4wd,,,1.0
2019.0,25000.0,,0.0,jeep,4wd,,,0.0
2016.0,172310.0,,0.0,hyundai,fwd,white,,0.0
2017.0,99300.0,,0.0,hyundai,fwd,white,,0.0
2014.0,129510.0,,0.0,honda,fwd,white,,0.0
2015.0,115400.0,,0.0,honda,fwd,grey,,0.0
2007.0,161425.0,,0.0,gmc,4wd,white,,0.0
2008.0,90500.0,,0.0,ford,rwd,red,,0.0
2013.0,89510.0,,1.0,ford,fwd,silver,,0.0
2015.0,93390.0,,0.0,ford,rwd,grey,,1.0
2013.0,121505.0,,0.0,ford,4wd,white,,0.0
2015.0,97270.0,,0.0,dodge,rwd,blue,,0.0
2016.0,125000.0,6.0,0.0,nissan,fwd,silver,14975.0,0.0
2016.0,125000.0,6.0,0.0,nissan,fwd,silver,14975.0,0.0
2015.0,111066.0,4.0,0.0,nissan,fwd,,129.0,0.0
2004.0,68000.0,,0.0,bmw,,,6999.0,0.0
2016.0,120000.0,4.0,0.0,hyundai,fwd,silver,8980.0,0.0
1979.0,72000.0,,0.0,ford,,,28000.0,1.0
2010.0,135002.0,4.0,0.0,kia,,black,6000.0,0.0
2004.0,82000.0,8.0,0.0,,fwd,grey,6900.0,0.0
2010.0,100000.0,,0.0,ford,,white,5950.0,0.0
2009.0,92282.0,4.0,0.0,,fwd,green,8995.0,1.0
2015.0,109613.0,6.0,0.0,acura,fwd,grey,16495.0,0.0
2015.0,107344.0,4.0,0.0,audi,4wd,black,14995.0,0.0
2005.0,69502.0,6.0,0.0,,rwd,silver,12495.0,0.0
2017.0,58033.0,4.0,0.0,subaru,4wd,green,23995.0,0.0
2005.0,380000.0,6.0,0.0,,rwd,,9800.0,0.0
2014.0,125035.0,4.0,1.0,ford,fwd,silver,10895.0,0.0
2012.0,137498.0,4.0,1.0,kia,fwd,white,10995.0,0.0
2013.0,102070.0,6.0,0.0,bmw,,black,17800.0,0.0
2019.0,70625.0,,0.0,toyota,,silver,25968.0,0.0
2012.0,97059.0,,0.0,toyota,fwd,black,,0.0
2012.0,146233.0,,0.0,mazda,fwd,,7495.0,0.0
2009.0,184449.0,4.0,0.0,toyota,fwd,red,6900.0,0.0
2004.0,100000.0,,0.0,,,white,7050.0,0.0
2015.0,116000.0,4.0,0.0,nissan,,white,6600.0,0.0
2010.0,168400.0,4.0,0.0,for,fwd,white,6100.0,0.0
